xSingle,ySingle,xMarried,yMarried
6440.145236,3.99E-08,6436.704208,5.26E-08
6456.022587,4.33E-08,6452.539574,5.26E-08
6471.899939,4.87E-08,6468.374939,4.62E-08
6487.77729,5.61E-08,6484.210304,3.65E-08
6503.654642,6.47E-08,6500.04567,2.99E-08
6519.531993,7.09E-08,6515.881035,3.13E-08
6535.409345,7.02E-08,6531.716401,3.91E-08
6551.286696,6.16E-08,6547.551766,4.55E-08
6567.164048,4.91E-08,6563.387132,4.33E-08
6583.041399,3.76E-08,6579.222497,3.23E-08
6598.918751,2.90E-08,6595.057862,1.93E-08
6614.796102,2.17E-08,6610.893228,1.11E-08
6630.673454,1.46E-08,6626.728593,1.06E-08
6646.550805,8.36E-09,6642.563959,1.55E-08
6662.428157,4.31E-09,6658.399324,2.07E-08
6678.305508,3.27E-09,6674.23469,2.21E-08
6694.18286,5.23E-09,6690.070055,2.04E-08
6710.060211,9.58E-09,6705.90542,1.99E-08
6725.937563,1.46E-08,6721.740786,2.33E-08
6741.814914,1.76E-08,6737.576151,3.10E-08
6757.692266,1.67E-08,6753.411517,4.15E-08
6773.569617,1.24E-08,6769.246882,5.04E-08
6789.446969,7.16E-09,6785.082248,5.21E-08
6805.32432,3.18E-09,6800.917613,4.55E-08
6821.201672,1.08E-09,6816.752978,3.57E-08
6837.079023,2.82E-10,6832.588344,2.86E-08
6852.956375,7.05E-11,6848.423709,2.52E-08
6868.833726,9.84E-11,6864.259075,2.42E-08
6884.711078,4.09E-10,6880.09444,2.58E-08
6900.588429,1.48E-09,6895.929806,2.94E-08
6916.465781,4.30E-09,6911.765171,3.08E-08
6932.343132,1.01E-08,6927.600536,2.62E-08
6948.220483,1.94E-08,6943.435902,1.72E-08
6964.097835,3.03E-08,6959.271267,8.58E-09
6979.975186,3.92E-08,6975.106633,3.21E-09
6995.852538,4.30E-08,6990.941998,9.28E-10
7011.729889,4.07E-08,7006.777364,4.47E-10
7027.607241,3.36E-08,7022.612729,1.17E-09
7043.484592,2.38E-08,7038.448094,3.43E-09
7059.361944,1.42E-08,7054.28346,7.53E-09
7075.239295,7.13E-09,7070.118825,1.27E-08
7091.116647,3.62E-09,7085.954191,1.73E-08
7106.993998,3.59E-09,7101.789556,2.04E-08
7122.87135,6.58E-09,7117.624922,2.12E-08
7138.748701,1.15E-08,7133.460287,1.91E-08
7154.626053,1.61E-08,7149.295652,1.43E-08
7170.503404,1.77E-08,7165.131018,8.89E-09
7186.380756,1.53E-08,7180.966383,5.82E-09
7202.258107,1.04E-08,7196.801749,6.78E-09
7218.135459,5.57E-09,7212.637114,1.12E-08
7234.01281,2.33E-09,7228.47248,1.64E-08
7249.890162,7.53E-10,7244.307845,1.93E-08
7265.767513,1.88E-10,7260.14321,1.86E-08
7281.644865,3.57E-11,7275.978576,1.61E-08
7297.522216,5.16E-12,7291.813941,1.41E-08
7313.399568,5.64E-13,7307.649307,1.24E-08
7329.276919,4.63E-14,7323.484672,1.05E-08
7345.154271,2.85E-15,7339.320038,1.07E-08
7361.031622,1.31E-16,7355.155403,1.60E-08
7376.908974,5.29E-18,7370.990768,2.52E-08
7392.786325,2.06E-17,7386.826134,3.23E-08
7408.663677,4.29E-16,7402.661499,3.25E-08
7424.541028,6.85E-15,7418.496865,2.64E-08
7440.41838,8.41E-14,7434.33223,1.80E-08
7456.295731,8.06E-13,7450.167596,1.03E-08
7472.173083,6.14E-12,7466.002961,4.75E-09
7488.050434,3.77E-11,7481.838326,1.71E-09
7503.927786,1.87E-10,7497.673692,4.81E-10
7519.805137,7.81E-10,7513.509057,2.26E-10
7535.682489,2.49E-09,7529.344423,7.74E-10
7551.55984,6.06E-09,7545.179788,3.01E-09
7567.437192,1.13E-08,7561.015154,8.16E-09
7583.314543,1.63E-08,7576.850519,1.53E-08
7599.191895,1.81E-08,7592.685884,2.02E-08
7615.069246,1.56E-08,7608.52125,1.87E-08
7630.946598,1.05E-08,7624.356615,1.24E-08
7646.823949,5.52E-09,7640.191981,5.87E-09
7662.701301,2.27E-09,7656.027346,2.11E-09
7678.578652,7.25E-10,7671.862712,1.13E-09
7694.456004,1.80E-10,7687.698077,2.19E-09
7710.333355,3.44E-11,7703.533442,4.84E-09
7726.210706,5.01E-12,7719.368808,8.02E-09
7742.088058,5.54E-13,7735.204173,9.74E-09
7757.965409,4.62E-14,7751.039539,8.66E-09
7773.842761,2.89E-15,7766.874904,5.61E-09
7789.720112,1.35E-16,7782.71027,2.62E-09
7805.597464,4.64E-18,7798.545635,8.67E-10
7821.474815,1.13E-19,7814.381001,2.01E-10
7837.352167,3.25E-20,7830.216366,3.23E-11
7853.229518,2.58E-20,7846.051731,3.56E-12
7869.10687,2.28E-21,7861.887097,4.68E-13
7884.984221,8.87E-21,7877.722462,2.75E-12
