"x","y"
1758.63659789386,3.82284676231096e-05
1771.60363695447,3.92418427373212e-05
1784.57067601507,4.02659737217982e-05
1797.53771507568,4.12984349675238e-05
1810.50475413629,4.23460216904833e-05
1823.47179319689,4.34226883164532e-05
1836.4388322575,4.45436001443849e-05
1849.40587131811,4.57130687120831e-05
1862.37291037871,4.6915874509264e-05
1875.33994943932,4.81260835793422e-05
1888.30698849993,4.93143520458753e-05
1901.27402756053,5.04593424561843e-05
1914.24106662114,5.15575722815652e-05
1927.20810568175,5.26287243949432e-05
1940.17514474235,5.3714850761815e-05
1953.14218380296,5.4873218103345e-05
1966.10922286357,5.61637961230809e-05
1979.07626192417,5.76337592502687e-05
1992.04330098478,5.93027611392792e-05
2005.01034004539,6.11535885935089e-05
2017.97737910599,6.31323131925631e-05
2030.9444181666,6.51597237131893e-05
2043.91145722721,6.71519626273334e-05
2056.87849628781,6.90421117773583e-05
2069.84553534842,7.08011553126083e-05
2082.81257440903,7.24588094740757e-05
2095.77961346963,7.40707401807437e-05
2108.74665253024,7.57055418079252e-05
2121.71369159085,7.74290961854527e-05
2134.68073065145,7.929689519222e-05
2147.64776971206,8.13550987436303e-05
2160.61480877267,8.36464847813271e-05
2173.58184783327,8.62152773636956e-05
2186.54888689388,8.91058952028729e-05
2199.51592595449,9.23542386313164e-05
2212.48296501509,9.59744957599086e-05
2225.4500040757,9.99475963801068e-05
2238.41704313631,0.000104217878908748
2251.38408219691,0.000108701850560909
2264.35112125752,0.000113308016414096
2277.31816031813,0.000117961731268688
2290.28519937873,0.00012262724907062
2303.25223843934,0.000127318546566811
2316.21927749995,0.000132085086136603
2329.18631656055,0.000136988611457995
2342.15335562116,0.000142082194615249
2355.12039468177,0.000147395130912205
2368.08743374237,0.00015292655440422
2381.05447280298,0.000158647547917179
2394.02151186359,0.000164509749816828
2406.98855092419,0.000170457799994681
2419.9555899848,0.000176442717161175
2432.92262904541,0.000182433108507587
2445.88966810601,0.000188421293839801
2458.85670716662,0.000194422612032591
2471.82374622723,0.000200468597249965
2484.79078528783,0.00020659759642933
2497.75782434844,0.000212848150432022
2510.72486340905,0.000219272951295498
2523.69190246965,0.000225912468068436
2536.65894153026,0.000232830389275837
2549.62598059087,0.000240103038689676
2562.59301965147,0.00024780613660588
2575.56005871208,0.000255995384242289
2588.52709777269,0.000264689261549514
2601.49413683329,0.000273861858810661
2614.4611758939,0.000283449069945401
2627.42821495451,0.000293365771365304
2640.39525401511,0.000303527694423265
2653.36229307572,0.000313871129230368
2666.32933213633,0.000324365861819043
2679.29637119694,0.000335019925107614
2692.26341025754,0.000345876939178586
2705.23044931815,0.000357007457444305
2718.19748837876,0.000368495786455281
2731.16452743936,0.000380454216603205
2744.13156649997,0.000392927740107535
2757.09860556058,0.00040594570525438
2770.06564462118,0.000419509005341821
2783.03268368179,0.0004335835250377
2795.9997227424,0.000448095834867635
2808.966761803,0.000462929286355064
2821.93380086361,0.000477925273754339
2834.90083992422,0.00049289414588241
2847.86787898482,0.000507636418936124
2860.83491804543,0.000521969861779921
2873.80195710604,0.000535754707821283
2886.76899616664,0.000548909510030104
2899.73603522725,0.000561413697107558
2912.70307428786,0.000573297683015604
2925.67011334846,0.000584625060616633
2938.63715240907,0.000595472728774462
2951.60419146968,0.000605897155052954
2964.57123053028,0.000615975327865604
2977.53826959089,0.00062575811455955
2990.5053086515,0.000635285969508088
3003.4723477121,0.000644606440689373
3016.43938677271,0.000653781525888648
3029.40642583332,0.000662887337810631
3042.37346489392,0.000672005585806243
3055.34050395453,0.000681210248238053
3068.30754301514,0.000690554995906831
3081.27458207574,0.000700066489160469
3094.24162113635,0.000709745976151717
3107.20866019696,0.000719577919053395
3120.17569925756,0.000729541106885052
3133.14273831817,0.000739615969938129
3146.10977737878,0.000749782193105709
3159.07681643938,0.000760003485742214
3172.04385549999,0.000770192972826079
3185.0108945606,0.000780174779491577
3197.9779336212,0.000789691355551992
3210.94497268181,0.000798408469209965
3223.91201174242,0.000805955069056562
3236.87905080302,0.000811978835336892
3249.84608986363,0.000816205256236063
3262.81312892424,0.000818487886216651
3275.78016798484,0.000818840274168558
3288.74720704545,0.000817442615292649
3301.71424610606,0.000814618294257145
3314.68128516666,0.00081077912410461
3327.64832422727,0.000806345149231408
3340.61536328788,0.000801654741109932
3353.58240234848,0.000796889298876594
3366.54944140909,0.00079203824092067
3379.5164804697,0.00078692008671048
3392.4835195303,0.000781228328050876
3405.45055859091,0.000774672608213634
3418.41759765152,0.000767127862078779
3431.38463671212,0.000758604520965925
3444.35167577273,0.000749257393862848
3457.31871483334,0.000739344263901251
3470.28575389394,0.000729170212603701
3483.25279295455,0.000719031101428856
3496.21983201516,0.000709163572457719
3509.18687107576,0.00069970573078737
3522.15391013637,0.000690673111528487
3535.12094919698,0.000681955878110445
3548.08798825758,0.000673341742142921
3561.05502731819,0.000664563065006161
3574.0220663788,0.000655357787403506
3586.9891054394,0.000645527001656712
3599.95614450001,0.000634972089286935
3612.92318356062,0.000623688167035353
3625.89022262122,0.000611783588514105
3638.85726168183,0.000599462214435112
3651.82430074244,0.000586928985613641
3664.79133980304,0.00057439706980844
3677.75837886365,0.000562061281541438
3690.72541792426,0.000550064396426599
3703.69245698486,0.000538462572768934
3716.65949604547,0.000527203148931022
3729.62653510608,0.000516127869846257
3742.59357416668,0.000505006624828431
3755.56061322729,0.000493594931207524
3768.5276522879,0.000481698371368026
3781.49469134851,0.000469223571489877
3794.46173040911,0.000456199609943767
3807.42876946972,0.000442764048107354
3820.39580853033,0.000429119923971539
3833.36284759093,0.000415482509060077
3846.32988665154,0.000402037475520962
3859.29692571215,0.000388872105778101
3872.26396477275,0.000376010921227863
3885.23100383336,0.000363438855986708
3898.19804289397,0.000351125464230251
3911.16508195457,0.000339039539748416
3924.13212101518,0.000327152202418848
3937.09916007579,0.000315434245172233
3950.06619913639,0.000303856520944428
3963.033238197,0.000292399172865358
3976.00027725761,0.000281068650176534
3988.96731631821,0.000269914735903961
4001.93435537882,0.000259037077691215
4014.90139443943,0.000248573695704999
4027.86843350003,0.000238671412954586
4040.83547256064,0.000229446512066377
4053.80251162125,0.000220954401905114
4066.76955068185,0.000213183935852824
4079.73658974246,0.000205962528158514
4092.70362880307,0.000199114468970372
4105.67066786367,0.000192455622205234
4118.63770692428,0.000185826326579333
4131.60474598489,0.000179112909707205
4144.57178504549,0.000172255192667275
4157.5388241061,0.000165241643565726
4170.50586316671,0.000158096753616774
4183.47290222731,0.000150866320216484
4196.43994128792,0.000143605638534025
4209.40698034853,0.000136373485792278
4222.37401940913,0.000129231891851484
4235.34105846974,0.00012224893360848
4248.30809753035,0.000115500178582809
4261.27513659095,0.000109064754939879
4274.24217565156,0.000103014551730895
4287.20921471217,9.7428044238305e-05
4300.17625377277,9.22848140662015e-05
4313.14329283338,8.75505153845754e-05
4326.11033189399,8.31643036542731e-05
4339.07737095459,7.90584405715389e-05
4352.0444100152,7.51781055976821e-05
4365.01144907581,7.14936034470175e-05
4377.97848813641,6.80010296791583e-05
4390.94552719702,6.47125885779597e-05
4403.91256625763,6.16419117663511e-05
4416.87960531823,5.8791121772153e-05
4429.84664437884,5.61446756168497e-05
4442.81368343945,5.367132199034e-05
4455.78072250005,5.13317444347065e-05
4468.74776156066,4.90874155823482e-05
4481.71480062127,4.69065967216339e-05
4494.68183968187,4.47656815493034e-05
4507.64887874248,4.26469342352943e-05
4520.61591780309,4.05319073047167e-05
4533.58295686369,3.84039735456655e-05
4546.5499959243,3.62481760090215e-05
4559.51703498491,3.40559462815205e-05
4572.48407404551,3.18314841436073e-05
4585.45111310612,2.95971563147505e-05
4598.41815216673,2.73951335933067e-05
4611.38519122733,2.52832463546787e-05
4624.35223028794,2.33249290430367e-05
4637.31926934855,2.15755449679306e-05
4650.28630840915,2.00692882127741e-05
4663.25334746976,1.88112557666278e-05
4676.22038653037,1.77777488526904e-05
4689.18742559097,1.69248426028778e-05
4702.15446465158,1.62019726611053e-05
4715.12150371219,1.55652171333573e-05
4728.08854277279,1.4987149990928e-05
4741.0555818334,1.44504617041877e-05
4754.02262089401,1.39461167727664e-05
4766.98965995461,1.34627984812126e-05
4779.95669901522,1.29820969715831e-05
4792.92373807583,1.24805346385294e-05
4805.89077713643,1.19360583198605e-05
4818.85781619704,1.13356696970109e-05
4831.82485525765,1.06806091378804e-05
4844.79189431825,9.98678605527873e-06
4857.75893337886,9.28025984920393e-06
4870.72597243947,8.5895994932692e-06
4883.69301150008,7.93809803007813e-06
4896.66005056068,7.33869800759153e-06
4909.62708962129,6.79321610267222e-06
4922.5941286819,6.29561478368864e-06
4935.5611677425,5.83745586075418e-06
4948.52820680311,5.41433089210238e-06
4961.49524586372,5.02571185818595e-06
4974.46228492432,4.67505922147971e-06
4987.42932398493,4.36717930960849e-06
5000.39636304554,4.10430210267526e-06
5013.36340210614,3.88472190903557e-06
5026.33044116675,3.70360186450425e-06
5039.29748022736,3.55536173667135e-06
5052.26451928796,3.43633736364757e-06
5065.23155834857,3.34625842686482e-06
5078.19859740918,3.28759840945585e-06
5091.16563646978,3.26281488650532e-06
5104.13267553039,3.27053102986464e-06
5117.099714591,3.30236199491973e-06
5130.0667536516,3.34203332540023e-06
5143.03379271221,3.36761960650911e-06
5156.00083177282,3.35644016093842e-06
5168.96787083342,3.2889662907713e-06
5181.93490989403,3.15784473641452e-06
5194.90194895464,2.97060559043121e-06
5207.86898801524,2.7412011188734e-06
5220.83602707585,2.4874933202039e-06
5233.80306613646,2.22706407409218e-06
5246.77010519706,1.97445751006529e-06
5259.73714425767,1.74024182066806e-06
5272.70418331828,1.53149636995937e-06
5285.67122237888,1.35290963565967e-06
